Unnamed: 0,Company,Date,Tahun_Buku,Link,folder_path,category
34,ANJT,26 Maret 2021 | 16:36,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ANJT/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ANJT\2020,General
35,ANTM,15 Maret 2021 | 14:28,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ANTM/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ANTM\2020,General
36,APEX,29 Maret 2021 | 11:07,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/APEX/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\APEX\2020,General
37,APIC,31 Mei 2021 | 19:42,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/APIC/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\APIC\2020,General
38,APII,09 April 2021 | 13:57,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/APII/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\APII\2020,General
39,APLI,28 Mei 2021 | 17:38,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/APLI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\APLI\2020,General
40,APLN,27 April 2021 | 18:38,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/APLN/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\APLN\2020,Property
41,ARGO,30 Mei 2021 | 13:29,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARGO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARGO\2020,General
42,ARII,02 Juni 2021 | 11:40,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARII/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARII\2020,General
43,ARKA,31 Mei 2021 | 23:49,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARKA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARKA\2020,General
